"","Year","Country","Region","Happiness_Score","Generosity_Score","Corruption_Score","GDP_Score","Life_Expectancy_Score","Social_Score"
"1",2015-01-01,"Switzerland","Western Europe",7.587,0.29678,2.30233096592612,1.36528011978516,0.94143,1.34951
"2",2015-01-01,"Iceland","Western Europe",7.561,0.4363,-0.0164272975524168,1.13162806061416,0.94784,1.40223
"3",2015-01-01,"Denmark","Western Europe",7.527,0.34139,2.83376340090365,1.18907982503077,0.87464,1.36058
"4",2015-01-01,"Norway","Western Europe",7.522,0.34699,1.84621047972108,1.52029569657247,0.88521,1.33095
"5",2015-01-01,"Canada","North America and ANZ",7.427,0.45811,1.55079436208033,1.19108914839767,0.90563,1.32261
"6",2015-01-01,"Finland","Western Europe",7.406,0.23351,2.25184530115165,1.10168666180119,0.88911,1.31826
"7",2015-01-01,"Netherlands","Western Europe",7.378,0.4761,1.45557140030273,1.1989031837134,0.89284,1.28017
"8",2015-01-01,"Sweden","Western Europe",7.364,0.36262,2.45778682478614,1.20453425043299,0.91087,1.28907
"9",2015-01-01,"New Zealand","North America and ANZ",7.286,0.47501,2.38097530181243,1.00228717129283,0.90837,1.31967
"10",2015-01-01,"Australia","North America and ANZ",7.284,0.43562,1.77406429870673,1.20917305869979,0.93156,1.30923
"11",2015-01-01,"Israel","Middle East and Northern Africa",7.278,0.33172,-0.546276848650879,0.94868040838079,0.91387,1.22393
"12",2015-01-01,"Costa Rica","Latin America and Caribbean",7.226,0.25497,-0.313176370038694,0.27198495003853,0.86027,1.23788
"13",2015-01-01,"Austria","Western Europe",7.2,0.33088,0.361048852766315,1.21822741708151,0.89042,1.29704
"14",2015-01-01,"Mexico","Latin America and Caribbean",7.187,0.14074,0.580653163567502,0.432631593545421,0.81444,0.91451
"15",2015-01-01,"United States","North America and ANZ",7.119,0.40105,0.128948090288278,1.36031882752121,0.86179,1.24711
"16",2015-01-01,"Brazil","Latin America and Caribbean",6.983,0.14574,0.264826174854566,0.335142200558688,0.69702,1.23287
"17",2015-01-01,"Luxembourg","Western Europe",6.946,0.28034,1.95409651253122,1.78054028227827,0.91894,1.21963
"18",2015-01-01,"Ireland","Western Europe",6.94,0.45901,1.19639499252485,1.2150769964939,0.89533,1.36948
"19",2015-01-01,"Belgium","Western Europe",6.937,0.2225,0.682957447961985,1.14527161434004,0.89667,1.28566
"20",2015-01-01,"United Arab Emirates","Middle East and Northern Africa",6.901,0.26428,2.01949460964007,1.44158479480481,0.80925,1.12575
"21",2015-01-01,"United Kingdom","Western Europe",6.867,0.51912,1.47664874879768,1.04244883216956,0.90943,1.28548
"22",2015-01-01,"Oman","Middle East and Northern Africa",6.853,0.21542,1.51472127157316,1.27498460058117,0.76276,1.08182
"23",2015-01-01,"Venezuela","Latin America and Caribbean",6.81,0.05841,-0.272687866605698,0.491422906873298,0.72052,1.25596
"24",2015-01-01,"Singapore","Southeastern Asia",6.798,0.31105,2.90482655610601,1.6762291124286,1.02525,1.02
"25",2015-01-01,"Panama","Latin America and Caribbean",6.786,0.24434,-0.422561977050059,0.539274570759152,0.79661,1.1985
"26",2015-01-01,"Germany","Western Europe",6.75,0.28214,0.624890602503553,1.1951326015928,0.89186,1.29937
"27",2015-01-01,"Chile","Latin America and Caribbean",6.67,0.33363,-0.122730446483492,0.64748035503603,0.85857,1.12447
"28",2015-01-01,"Qatar","Middle East and Northern Africa",6.611,0.32573,3.15458897028733,2.0943668244348,0.79733,1.0786
"29",2015-01-01,"France","Western Europe",6.575,0.12332,0.525168918122285,1.07075300453542,0.94579,1.26038
"30",2015-01-01,"Argentina","Latin America and Caribbean",6.574,0.11451,-0.488043383836756,0.514418496516733,0.78723,1.24823
"31",2015-01-01,"Czech Republic","Central and Eastern Europe",6.505,0.10686,-0.973905425032704,0.825665166696004,0.84483,1.20643
"32",2015-01-01,"Uruguay","Latin America and Caribbean",6.485,0.2324,0.851076377854547,0.534635762492353,0.8116,1.2089
"33",2015-01-01,"Colombia","Latin America and Caribbean",6.477,0.18401,-0.76829714010959,0.17977933331291,0.69077,1.24018
"34",2015-01-01,"Thailand","Southeastern Asia",6.455,0.5763,-0.929334747385271,0.299569735026124,0.7385,1.26504
"35",2015-01-01,"Saudi Arabia","Middle East and Northern Africa",6.411,0.13706,1.51472127157316,1.36255140903999,0.72025,1.08393
"36",2015-01-01,"Spain","Western Europe",6.329,0.18227,-0.661827371822824,0.952500603424036,0.95562,1.31379
"37",2015-01-01,"Malta","Western Europe",6.302,0.51752,-0.0629974074681463,0.896165129766818,0.88721,1.30203
"38",2015-01-01,"Taiwan","Eastern Asia",6.298,0.25376,-0.517618319471969,1.10349753347753,0.8753,1.07617
"39",2015-01-01,"Kuwait","Middle East and Northern Africa",6.295,0.16228,0.938634849270346,1.7565028212594,0.72492,1.16594
"40",2015-01-01,"Suriname","Latin America and Caribbean",6.269,0.16991,-0.0590818526093998,0.370119311019577,0.6082,0.972
"41",2015-01-01,"Trinidad and Tobago","Latin America and Caribbean",6.168,0.31844,-1.09986965793536,0.90715439213148,0.61483,1.18354
"42",2015-01-01,"El Salvador","Latin America and Caribbean",6.13,0.10692,-0.213787924368809,-0.202413816240931,0.67737,1.02507
"43",2015-01-01,"Guatemala","Latin America and Caribbean",6.123,0.27489,-0.405733422125234,-0.249570899209831,0.64425,1.04356
"44",2015-01-01,"Uzbekistan","Central and Eastern Europe",6.003,0.22837,1.37326143859121,-0.530107170275216,0.59772,1.34043
"45",2015-01-01,"Slovakia","Central and Eastern Europe",5.995,0.16893,-0.909007185990927,0.800685060146986,0.78902,1.26999
"46",2015-01-01,"Japan","Eastern Asia",5.987,0.10705,0.309730091213382,1.0532892557663,0.99111,1.25712
"47",2015-01-01,"South Korea","Eastern Asia",5.984,0.18557,-0.540278551845991,0.988469972337716,0.96538,0.95774
"48",2015-01-01,"Ecuador","Latin America and Caribbean",5.975,0.11541,0.312229381548752,0.0443608609682344,0.79075,0.99903
"49",2015-01-01,"Bahrain","Middle East and Northern Africa",5.96,0.17362,1.35443345139809,1.18481311368377,0.74716,1.21624
"50",2015-01-01,"Italy","Western Europe",5.948,0.22823,-0.953161315249133,1.00466859157953,0.95446,1.19777
"51",2015-01-01,"Bolivia","Latin America and Caribbean",5.89,0.20536,-0.461717525637524,-0.408828380882815,0.5392,0.97841
"52",2015-01-01,"Moldova","Central and Eastern Europe",5.889,0.20951,-1.06029756095866,-0.624272497445098,0.61826,1.01528
"53",2015-01-01,"Paraguay","Latin America and Caribbean",5.878,0.3424,-0.508204325875408,-0.214048046599907,0.66098,1.30477
"54",2015-01-01,"Kazakhstan","Central and Eastern Europe",5.855,0.11827,-0.490542674172126,0.68565749900717,0.64368,1.12241
"55",2015-01-01,"Slovenia","Central and Eastern Europe",5.848,0.25328,-0.879348940677869,0.840549043487872,0.87337,1.27385
"56",2015-01-01,"Lithuania","Central and Eastern Europe",5.833,0.02641,-1.10895041282054,0.746904652005705,0.73128,1.25745
"57",2015-01-01,"Nicaragua","Latin America and Caribbean",5.828,0.27815,0.41445035626539,-0.627323692187431,0.74314,1.14184
"58",2015-01-01,"Peru","Latin America and Caribbean",5.824,0.14982,-0.695901030061703,0.134085831561876,0.73017,0.97459
"59",2015-01-01,"Belarus","Central and Eastern Europe",5.813,0.11046,0.395539059394422,0.460861346527329,0.73608,1.23289
"60",2015-01-01,"Poland","Central and Eastern Europe",5.791,0.16759,-0.843942327593459,0.693124243864424,0.77903,1.27948
